URL,Page Title Correct,Headline Accurate,Course Description Accurate,Schedule/Dates Current,Pricing Accurate,Duration Correct,Grade Levels Correct,Prerequisites Listed,Contact Phone Correct,Contact Email Correct,Address Correct,Spelling Errors,Grammar Issues,Tone Consistent,CTAs Clear,Copyright Year Current,Legal Links Present,Issues Found,Reviewer,Date,Status

HOMEPAGE,,,,,,,,,,,,,,,,,,,,
https://dev.nycstemclub.com/,Check browser tab title,Main headline matches brand messaging,N/A,N/A,N/A,N/A,N/A,N/A,Verify phone number,Verify email,Verify address,Check all text,Check all text,Professional and parent-friendly,Clear next steps,Shows 2024 or 2025,Privacy Policy and Terms in footer,,,

SHSAT PROGRAM - Verify all program details are current,,,,,,,,,,,,,,,,,,,,
https://dev.nycstemclub.com/nyc-top-shsat-prep-program/,SHSAT Prep title,Overview headline accurate,Program overview matches offerings,Test dates for 2024-2025,If shown - verify rates,N/A,6th-8th grade focus,N/A,,,,,,,,,,,
ENRICHMENT PROGRAM - Verify grade-appropriate content,,,,,,,,,,,,,,,,,,,,
https://dev.nycstemclub.com/academic-enrichment/,Enrichment title,Overview headline,Program overview,N/A,If shown,N/A,Grades 3-8,N/A,,,,,,,,,,,
https://dev.nycstemclub.com/math-enrichment/,Math title,Math headline,Math curriculum overview,N/A,If shown,N/A,Grades 3-8,N/A,,,,,,,,,,,
https://dev.nycstemclub.com/ela-enrichment/,ELA title,ELA headline,ELA curriculum overview,N/A,If shown,N/A,Grades 3-8,N/A,,,,,,,,,,,
https://dev.nycstemclub.com/courses/math-enrichment-grades-3-5/,Course name,Course title,Age-appropriate math topics,Session dates,Pricing,Duration,Grades 3-5,Prereqs,,,,,,,,,,,
https://dev.nycstemclub.com/courses/math-enrichment-grades-6-8/,Course name,Course title,Age-appropriate math topics,Session dates,Pricing,Duration,Grades 6-8,Prereqs,,,,,,,,,,,
https://dev.nycstemclub.com/courses/ela-enrichment-grades-3-5/,Course name,Course title,Age-appropriate ELA topics,Session dates,Pricing,Duration,Grades 3-5,Prereqs,,,,,,,,,,,
https://dev.nycstemclub.com/courses/ela-enrichment-grades-6-8/,Course name,Course title,Age-appropriate ELA topics,Session dates,Pricing,Duration,Grades 6-8,Prereqs,,,,,,,,,,,

COLLEGE COUNSELING - Verify services and university claims,,,,,,,,,,,,,,,,,,,,
https://dev.nycstemclub.com/admissions-counseling/,Counseling title,Overview headline,Services description,Application deadlines if mentioned,Pricing/packages,N/A,High school,N/A,,,,,,,,,,,
https://dev.nycstemclub.com/courses/college-counseling/,Course name,Course title,Services accurate,Timeline if shown,Pricing,Duration,Grades 9-12,N/A,,,,University acceptances are verifiable,,,,,,,

RESOURCES,,,,,,,,,,,,,,,,,,,,
https://dev.nycstemclub.com/testing-timeline/,Timeline title,N/A,N/A,All test dates current for 2024-2025,N/A,N/A,N/A,N/A,,,,Verify all dates with official sources,,,,,,,

LEGAL PAGES - Have legal review if needed,,,,,,,,,,,,,,,,,,,,
https://dev.nycstemclub.com/privacy-policy/,Privacy Policy,N/A,N/A,Last updated date,N/A,N/A,N/A,N/A,Matches footer,Matches footer,Matches footer,Legal accuracy,Legal accuracy,Professional,,,,,,
https://dev.nycstemclub.com/terms-of-service/,Terms of Service,N/A,N/A,Last updated date,N/A,N/A,N/A,N/A,,,,,Legal accuracy,Professional,,,,,,

TRACK RECORD STATS - Verify all hero stats are accurate and verifiable,,,,,,,,,,,,,,,,,,,,
All course pages,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Students helped number,Score improvements,Years in business,N/A,N/A,N/A,,,
